DATE,Value
2016-03-02,2481508
2016-03-09,2515893
2016-03-16,2499512
2016-03-23,2422534
2016-03-30,2408417
2016-04-06,2391977
2016-04-13,2496830
2016-04-20,2470250
2016-04-27,2374158
2016-05-04,2361000
2016-05-11,2401680
2016-05-18,2416214
2016-05-25,2332537
2016-06-01,2393953
2016-06-08,2429639
2016-06-15,2449153
2016-06-22,2361897
2016-06-29,2256344
2016-07-06,2253410
2016-07-13,2310766
2016-07-20,2327654
2016-07-27,2322008
2016-08-03,2332761
2016-08-10,2395226
2016-08-17,2328544
2016-08-24,2358138
2016-08-31,2337960
2016-09-07,2373809
2016-09-14,2368491
2016-09-21,2244467
2016-09-28,2131792
2016-10-05,1999935
2016-10-12,2129766
2016-10-19,2147216
2016-10-26,2061583
2016-11-02,2107987
2016-11-09,2175670
2016-11-16,2167766
2016-11-23,2130901
2016-11-30,2096684
2016-12-07,2143979
2016-12-14,2138296
2016-12-21,2023009
2016-12-28,1952555
2017-01-04,1845396
2017-01-11,2068178
2017-01-18,2148195
2017-01-25,2116497
2017-02-01,2155126
2017-02-08,2220721
2017-02-15,2246912
2017-02-22,2239022
2017-03-01,2261623
2017-03-08,2343906
2017-03-15,2360216
2017-03-22,2311413
2017-03-29,2308932
2017-04-05,2233858
2017-04-12,2358407
2017-04-19,2343340
2017-04-26,2239041
2017-05-03,2173987
2017-05-10,2232191
2017-05-17,2240327
2017-05-24,2222412
2017-05-31,2221628
2017-06-07,2272308
2017-06-14,2274716
2017-06-21,2209820
2017-06-28,2162742
2017-07-05,2076340
2017-07-12,2220769
2017-07-19,2254092
2017-07-26,2280565
2017-08-02,2271315
2017-08-09,2332293
2017-08-16,2336388
2017-08-23,2359640
2017-08-30,2364546
2017-09-06,2366129
2017-09-13,2358933
2017-09-20,2292801
2017-09-27,2212709
2017-10-04,2149215
2017-10-11,2264498
2017-10-18,2281294
2017-10-25,2243832
2017-11-01,2243215
2017-11-08,2311929
2017-11-15,2336255
2017-11-22,2339907
2017-11-29,2294895
2017-12-06,2325090
2017-12-13,2352562
2017-12-20,2269164
2017-12-27,2201425
2018-01-03,2045930
2018-01-10,2232897
2018-01-17,2249899
2018-01-24,2210944
2018-01-31,2203630
2018-02-07,2244845
2018-02-14,2253929
2018-02-21,2223380
2018-02-28,2232947
2018-03-07,2252016
2018-03-14,2204829
2018-03-21,2123587
2018-03-28,2113321
2018-04-04,2094045
2018-04-11,2119965
2018-04-18,2141390
2018-04-25,2052590
2018-05-02,1994584
2018-05-09,2025750
2018-05-16,2036270
2018-05-23,2021946
2018-05-30,2019681
2018-06-06,2029579
2018-06-13,2057269
2018-06-20,1971983
2018-06-27,1940847
2018-07-04,1917987
2018-07-11,1958085
2018-07-18,1967119
2018-07-25,1947119
2018-08-01,1937548
2018-08-08,1951389
2018-08-15,1922547
2018-08-22,1883254
2018-08-29,1883924
2018-09-05,1895010
2018-09-12,1920976
2018-09-19,1879896
2018-09-26,1832500
2018-10-03,1801576
2018-10-10,1865065
2018-10-17,1853533
2018-10-24,1817608
2018-10-31,1802252
2018-11-07,1826131
2018-11-14,1801383
2018-11-21,1757729
2018-11-28,1738659
2018-12-05,1738141
2018-12-12,1735539
2018-12-19,1699138
2018-12-26,1661223
2019-01-02,1621856
2019-01-09,1650387
2019-01-16,1664138
2019-01-23,1621876
2019-01-30,1617539
2019-02-06,1648553
2019-02-13,1649973
2019-02-20,1632580
2019-02-27,1640750
2019-03-06,1721614
2019-03-13,1703948
2019-03-20,1629731
2019-03-27,1622282
2019-04-03,1600398
2019-04-10,1634591
2019-04-17,1604479
2019-04-24,1505430
2019-05-01,1461419
2019-05-08,1484975
2019-05-15,1509867
2019-05-22,1518157
2019-05-29,1544711
2019-06-05,1537089
2019-06-12,1586963
2019-06-19,1567955
2019-06-26,1504737
2019-07-03,1456496
2019-07-10,1499806
2019-07-17,1515664
2019-07-24,1518322
2019-07-31,1534523
2019-08-07,1539244
2019-08-14,1550406
2019-08-21,1516045
2019-08-28,1498680
2019-09-04,1487555
2019-09-11,1456796
2019-09-18,1394122
2019-09-25,1400171
2019-10-02,1469200
2019-10-09,1506455
2019-10-16,1480368
2019-10-23,1449043
2019-10-30,1483702
2019-11-06,1523939
2019-11-13,1532316
2019-11-20,1518759
2019-11-27,1526697
2019-12-04,1573261
2019-12-11,1638657
2019-12-18,1660249
2019-12-25,1651927
2020-01-01,1615846
2020-01-08,1654086
2020-01-15,1686801
2020-01-22,1621689
2020-01-29,1616342
2020-02-05,1645016
2020-02-12,1675566
2020-02-19,1654118
2020-02-26,1626469
2020-03-04,1698855
2020-03-11,1744525
2020-03-18,1895588
2020-03-25,2186971
2020-04-01,2533908
2020-04-08,2760451
2020-04-15,2919041
2020-04-22,3103504
2020-04-29,3159142
2020-05-06,3158938
2020-05-13,3156929
2020-05-20,3273303
2020-05-27,3268144
2020-06-03,3237461
2020-06-10,3182228
2020-06-17,3078491
2020-06-24,2918756
2020-07-01,2884819
2020-07-08,2813967
2020-07-15,2777603
2020-07-22,2631780
2020-07-29,2615272
2020-08-05,2713287
2020-08-12,2788961
2020-08-19,2827685
2020-08-26,2815794
2020-09-02,2851916
2020-09-09,2857463
2020-09-16,2885412
2020-09-23,2830499
2020-09-30,2839316
2020-10-07,2840860
2020-10-14,2861929
2020-10-21,2860480
2020-10-28,2880781
2020-11-04,2966737
2020-11-11,2976170
2020-11-18,3043822
2020-11-25,3083636
2020-12-02,3117307
2020-12-09,3117480
2020-12-16,3168240
2020-12-23,3143041
2020-12-30,3122156
2021-01-06,3068284
2021-01-13,3183917
2021-01-20,3154624
2021-01-27,3163008
2021-02-03,3193118
2021-02-10,3258919
2021-02-17,3378907
2021-02-24,3369020
2021-03-03,3503120
2021-03-10,3592010
2021-03-17,3681030
2021-03-24,3826375
2021-03-31,3876162
2021-04-07,3932949
2021-04-14,3977813
2021-04-21,3825455
2021-04-28,3829269
2021-05-05,3873728
2021-05-12,3947565
2021-05-19,3919807
2021-05-26,3805178
2021-06-02,3814127
2021-06-09,3874371
2021-06-16,3940038
2021-06-23,3808042
2021-06-30,3780791
2021-07-07,3870568
2021-07-14,3903058
2021-07-21,3972940
2021-07-28,3984371
2021-08-04,4005578
2021-08-11,4090506
2021-08-18,4186711
2021-08-25,4167748
2021-09-01,4193981
2021-09-08,4250506
2021-09-15,4271184
2021-09-22,4156747
2021-09-29,4125348
2021-10-06,4130050
2021-10-13,4194503
2021-10-20,4134714
2021-10-27,4077170
2021-11-03,4086336
2021-11-10,4169041
2021-11-17,4209802
2021-11-24,4162810
2021-12-01,4224865
2021-12-08,4275806
2021-12-15,4251431
2021-12-22,4185009
2021-12-29,4116196
2022-01-05,3859731
2022-01-12,3973554
2022-01-19,3932521
2022-01-26,3796174
2022-02-02,3789714
2022-02-09,3771911
2022-02-16,3799973
2022-02-23,3769869
2022-03-02,3844716
2022-03-09,3959659
2022-03-16,3961721
2022-03-23,3801095
2022-03-30,3829680
2022-04-06,3834183
2022-04-13,3823644
2022-04-20,3652101
2022-04-27,3331982
2022-05-04,3296085
2022-05-11,3288552
2022-05-18,3356377
2022-05-25,3306180
2022-06-01,3322030
2022-06-08,3339405
2022-06-15,3283954
2022-06-22,3147556
2022-06-29,3130087
2022-07-06,3190627
2022-07-13,3273436
2022-07-20,3284324
2022-07-27,3256875
2022-08-03,3259011
2022-08-10,3348147
2022-08-17,3346750
2022-08-24,3307365
2022-08-31,3248654
2022-09-07,3285498
2022-09-14,3234928
2022-09-21,3104032
2022-09-28,2960598
2022-10-05,2972874
2022-10-12,3087912
2022-10-19,3092044
2022-10-26,3042838
2022-11-02,3062727
2022-11-09,3067888
2022-11-16,3128277
2022-11-23,3160730
2022-11-30,3168995
2022-12-07,3199048
2022-12-14,3188634
2022-12-21,3088621
2022-12-28,3017889
2023-01-04,2830144
2023-01-11,3081237
2023-01-18,3147332
2023-01-25,3031889
2023-02-01,3015506
2023-02-08,3037584
2023-02-15,3041038
2023-02-22,3016577
2023-03-01,2998303
2023-03-08,2999720
2023-03-15,3251482
2023-03-22,3425075
2023-03-29,3437592
2023-04-05,3292058
2023-04-12,3413989
2023-04-19,3303152
2023-04-26,3135655
2023-05-03,3089706
2023-05-10,3196429
2023-05-17,3248878
2023-05-24,3240172
2023-05-31,3309447
2023-06-07,3349751
2023-06-14,3325261
2023-06-21,3251558
2023-06-28,3171567
2023-07-05,3114989
2023-07-12,3166607
2023-07-19,3230457
2023-07-26,3172244
2023-08-02,3189533
2023-08-09,3222856
2023-08-16,3245971
2023-08-23,3186789
2023-08-30,3238345
2023-09-06,3307291
2023-09-13,3335459
2023-09-20,3231649
2023-09-27,3170324
2023-10-04,3145720
2023-10-11,3288945
2023-10-18,3353881
2023-10-25,3261886
2023-11-01,3267216
2023-11-08,3328908
2023-11-15,3391713
2023-11-22,3453853
2023-11-29,3441581
2023-12-06,3513374
2023-12-13,3540619
2023-12-20,3536105
2023-12-27,3446459
2024-01-03,3262895
2024-01-10,3498748
2024-01-17,3611719
2024-01-24,3526683
2024-01-31,3526230
2024-02-07,3599323
2024-02-14,3540945
2024-02-21,3565999
2024-02-28,3567552
2024-03-06,3626176
2024-03-13,3624633
2024-03-20,3553424
2024-03-27,3496121
2024-04-03,3414288
2024-04-10,3586845
2024-04-17,3522717
2024-04-24,3324363
2024-05-01,3252733
2024-05-08,3331156
2024-05-15,3369747
2024-05-22,3390794
2024-05-29,3409342
2024-06-05,3408310
2024-06-12,3455134
2024-06-19,3434274
2024-06-26,3302647
2024-07-03,3184180
2024-07-10,3341977
2024-07-17,3331425
2024-07-24,3308580
2024-07-31,3293519
2024-08-07,3351662
2024-08-14,3346138
2024-08-21,3355586
2024-08-28,3313566
2024-09-04,3243002
2024-09-11,3320818
2024-09-18,3313281
2024-09-25,3169149
2024-10-02,3089598
2024-10-09,3186207
2024-10-16,3209877
2024-10-23,3230145
2024-10-30,3236958
2024-11-06,3274120
2024-11-13,3244149
2024-11-20,3286885
2024-11-27,3227674
2024-12-04,3225075
2024-12-11,3264559
2024-12-18,3282229
2024-12-25,3247382
2025-01-01,3095997
2025-01-08,3254743
2025-01-15,3340816
2025-01-22,3332278
2025-01-29,3224785
2025-02-05,3177065
2025-02-12,3220027
2025-02-19,3270082
2025-02-26,3327249
2025-03-05,3312625
2025-03-12,3400235
2025-03-19,3467789
2025-03-26,3450933
2025-04-02,3379339
2025-04-09,3474682
2025-04-16,3452030
2025-04-23,3256734
2025-04-30,3219214
2025-05-07,3218636
2025-05-14,3235723
2025-05-21,3289469
2025-05-28,3270661
2025-06-04,3294381
2025-06-11,3407108
2025-06-18,3406366
2025-06-25,3369328
2025-07-02,3225980
2025-07-09,3330249
2025-07-16,3398822
2025-07-23,3362277
2025-07-30,3347414
2025-08-06,3332492
2025-08-13,3320050
2025-08-20,3317292
2025-08-27,3224967
2025-09-03,3181701
2025-09-10,3160774
2025-09-17,3073355
2025-09-24,3002218
2025-10-01,2966094
2025-10-08,2998471
2025-10-15,3019028
2025-10-22,2933037
2025-10-29,2848021
2025-11-05,2862569
2025-11-12,2855030
2025-11-19,2888643
2025-11-26,2896586
2025-12-03,2858284
2025-12-10,2932112
2025-12-17,2959044
2025-12-24,2955581
2025-12-31,2957410
2026-01-07,2996379
2026-01-14,3049630
2026-01-21,2954903
2026-01-28,2901600
2026-02-04,2925170
2026-02-11,2939557
2026-02-18,2949804
2026-02-25,2965765
